id,created_at,locale,duration_seconds,top_result,score_C,score_D,score_I,score_S,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12
224,2026-05-18T00:56:25.991385+00:00,,87,D,78,89,44,67,3,2,3,2,1,1,2,2,2,3,2,2
225,2026-05-18T03:04:28.683373+00:00,,66,C,89,56,44,67,1,2,2,3,1,0,3,1,2,3,2,3
226,2026-05-18T03:47:22.458887+00:00,en,49,C,89,22,56,78,1,0,1,2,1,2,2,2,3,3,2,3
227,2026-05-18T05:59:01.314+00:00,en,49,C,89,22,56,78,1,0,1,2,1,2,2,2,3,3,2,3
228,2026-05-18T05:59:02.501+00:00,en,49,C,89,22,56,78,1,0,1,2,1,2,2,2,3,3,2,3
229,2026-05-18T08:43:17.45779+00:00,,43,S,100,11,22,100,1,0,0,1,0,1,3,3,3,3,3,3
230,2026-05-18T09:12:21.988707+00:00,,58,D,44,100,100,67,3,3,3,3,3,3,2,2,2,1,1,2
231,2026-05-18T10:34:19.745+00:00,,,S,100,56,67,100,2,1,2,1,2,3,3,3,3,3,3,3
232,2026-05-18T11:14:31.355+00:00,,,D,67,67,67,33,3,1,2,2,2,2,1,2,0,2,2,2
233,2026-05-18T11:26:33.389306+00:00,en,482,I,67,33,78,56,1,0,2,3,3,1,2,2,1,2,1,3
234,2026-05-18T12:06:26.334091+00:00,,65,D,67,67,56,67,2,1,3,1,2,2,1,3,2,2,2,2
