id,created_at,locale,duration_seconds,top_result,score_empathy,score_self_awareness,score_self_regulation,score_social_skills,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10
119,2026-05-28T13:35:58.804722+00:00,en,45,self_awareness,89,100,67,67,3,3,3,2,2,2,3,3,2,2
120,2026-05-28T13:55:37.639551+00:00,,58,empathy,89,67,83,67,3,2,1,2,3,3,2,3,2,2
121,2026-05-28T14:16:20.889223+00:00,en,63,self_awareness,89,89,67,67,3,2,3,2,2,2,3,3,2,2
122,2026-05-28T16:45:59.395+00:00,,,social_skills,67,78,67,83,2,2,3,2,2,2,2,2,3,2
123,2026-05-28T16:56:45.259102+00:00,en,232,empathy,89,44,50,83,2,0,2,2,1,3,2,3,2,3
124,2026-05-28T19:45:42.892874+00:00,en,58,empathy,89,78,67,83,2,3,2,2,2,3,2,3,3,2
125,2026-05-28T20:49:40.132828+00:00,en,204,empathy,67,56,33,33,2,0,3,1,1,2,1,3,1,1
126,2026-05-29T09:07:06.124+00:00,,,self_regulation,78,67,100,100,2,1,3,3,3,3,1,3,3,3
127,2026-05-29T09:07:07.286165+00:00,en,63,empathy,100,78,0,17,2,2,3,0,0,3,3,3,1,0
128,2026-05-29T09:09:02.863903+00:00,en,59,empathy,78,67,17,33,2,2,2,1,0,3,2,2,1,1
129,2026-05-29T09:40:52.651754+00:00,en,147,self_awareness,67,100,50,67,3,3,3,2,1,2,2,2,2,2
130,2026-05-29T12:43:22.691+00:00,,,self_awareness,67,78,50,50,3,2,2,2,1,2,2,2,2,1
131,2026-05-29T16:37:08.642268+00:00,,4,social_skills,44,56,33,67,0,2,3,0,2,0,3,1,2,2
132,2026-05-29T21:34:47.72391+00:00,en,83,self_awareness,44,56,50,50,3,1,1,2,1,1,2,1,1,2
133,2026-05-30T15:37:43.160793+00:00,en,77,empathy,100,89,83,100,2,3,3,2,3,3,3,3,3,3
134,2026-05-30T15:56:29.58796+00:00,en,198,self_awareness,67,100,67,67,3,3,3,2,2,2,2,2,2,2
135,2026-05-30T21:41:39.242015+00:00,en,36,social_skills,11,0,0,17,0,0,0,0,0,0,0,1,0,1
136,2026-05-30T21:44:56.334882+00:00,en,60,empathy,89,56,33,33,1,2,2,1,1,3,3,2,2,0
137,2026-05-31T00:01:10.140922+00:00,,47,self_awareness,56,78,67,33,2,2,3,2,2,3,1,1,2,0
138,2026-05-31T14:28:43.45204+00:00,en,83,self_awareness,56,67,67,50,2,2,2,2,2,1,2,2,2,1
139,2026-05-31T22:31:09.543617+00:00,en,50,self_awareness,78,100,83,83,3,3,3,2,3,3,2,2,3,2
140,2026-06-01T11:00:00.454934+00:00,en,74,empathy,89,78,67,67,2,2,3,2,2,3,2,3,2,2
141,2026-06-01T14:04:07.803872+00:00,en,53,self_awareness,78,89,83,83,3,3,2,2,3,2,2,3,3,2
142,2026-06-01T14:56:03.722986+00:00,en,133,self_awareness,44,56,50,50,2,2,1,2,1,1,1,2,2,1
143,2026-06-01T15:20:35.812964+00:00,en,48,empathy,100,89,67,100,2,3,3,2,2,3,3,3,3,3
144,2026-06-01T17:30:44.092783+00:00,en,63,self_regulation,100,67,100,83,1,3,2,3,3,3,3,3,3,2
145,2026-06-01T17:36:13.351674+00:00,en,67,social_skills,89,78,17,100,2,2,3,0,1,3,2,3,3,3
146,2026-06-01T20:02:35.531684+00:00,en,79,self_awareness,22,67,17,50,2,2,2,1,0,1,1,0,1,2
147,2026-06-01T21:23:52.814779+00:00,en,48,empathy,100,44,50,67,2,0,2,1,2,3,3,3,2,2
148,2026-06-01T22:52:32.85622+00:00,en,81,social_skills,78,78,67,83,2,2,3,2,2,2,2,3,3,2
149,2026-06-02T01:44:51.92368+00:00,en,49,self_regulation,33,11,33,0,0,1,0,1,1,1,0,2,0,0
150,2026-06-02T03:03:08.401261+00:00,en,67,empathy,89,78,17,83,2,2,3,0,1,3,3,2,3,2
151,2026-06-02T06:39:47.570451+00:00,en,152,self_awareness,78,100,83,67,3,3,3,3,2,3,3,1,3,1
